slug,url,title,image
bo-so-ho-khau-giay-ha-noi-quyet-xu-ly-can-bo-tu-y-yeu-cau-so-ho-khau-giay,https://tv5s.com/bo-so-ho-khau-giay-ha-noi-quyet-xu-ly-can-bo-tu-y-yeu-cau-so-ho-khau-giay/,"Bỏ Sổ Hộ Khẩu Giấy: Hà Nội quyết xử lý cán bộ “tự ý” yêu cầu sổ hộ khẩu giấy",https://tv5s.com/wp-content/uploads/2023/03/ha-noi-222-1470.jpeg
chuan-bi-tro-thanh-thanh-pho-phia-bac-ha-noi-so-phan-khu-vuc-lang-biet-thu-me-linh-hien-nay-ra-sao,https://tv5s.com/chuan-bi-tro-thanh-thanh-pho-phia-bac-ha-noi-so-phan-khu-vuc-lang-biet-thu-me-linh-hien-nay-ra-sao/,Số phận khu vực “Làng biệt thự” Mê Linh hiện nay ra sao?,https://tv5s.com/wp-content/uploads/2023/03/202302240418193.jpeg
ha-noi-phat-hien-nhieu-sai-pham-tai-trung-tam-dang-kiem-29-01s-giam-doc-va-4-thuoc-cap-bi-bat-giu,https://tv5s.com/ha-noi-phat-hien-nhieu-sai-pham-tai-trung-tam-dang-kiem-29-01s-giam-doc-va-4-thuoc-cap-bi-bat-giu/,"Hà Nội: Phát hiện nhiều sai phạm tại Trung tâm đăng kiểm 29-01S , Giám Đốc và 4 thuộc cấp bị bắt giữ
",https://tv5s.com/wp-content/uploads/2023/03/bat-gd-nhan-vien-trung-tam-dang-kiem-11070978.webp
ha-noi-ban-dau-gia-quyen-su-dung-dat-tai-hang-loat-du-an-trong-thang-3,https://tv5s.com/ha-noi-ban-dau-gia-quyen-su-dung-dat-tai-hang-loat-du-an-trong-thang-3/,"Hà Nội sẽ đấu giá quyền sử dụng đất tại nhiều dự án trong tháng 3
",https://tv5s.com/wp-content/uploads/2023/03/ttxvnsu_dung_dat.jpg
khung-hoang-dao-duc-su-loi-dung-tam-linh-va-tac-hai-cua-no-den-xa-hoi,https://tv5s.com/khung-hoang-dao-duc-su-loi-dung-tam-linh-va-tac-hai-cua-no-den-xa-hoi/,"Khủng hoảng đạo đức: Sự lợi dụng tâm linh và tác hại của nó đến xã hội
",https://tv5s.com/wp-content/uploads/2023/03/anh-1-bai-chinh.jpg
ha-noi-nu-giang-vien-dai-hoc-bi-toi-pham-cong-nghe-cao-de-doa-co-quan-chuc-nang-tien-hanh-giai-cuu,https://tv5s.com/ha-noi-nu-giang-vien-dai-hoc-bi-toi-pham-cong-nghe-cao-de-doa-co-quan-chuc-nang-tien-hanh-giai-cuu/,"Hà Nội: Nữ giảng viên đại học bị tội phạm công nghệ cao đe dọa, cơ quan chức năng tiến hành giải cứu",https://tv5s.com/wp-content/uploads/2023/03/img-20230309-162716-239-719.jpeg
dong-loat-triet-pha-o-nhom-lap-7-cong-ty-doi-no-thue-cong-an-ha-noi-va-canh-sat-hinh-su-bo-cong-an-ra-tay,https://tv5s.com/dong-loat-triet-pha-o-nhom-lap-7-cong-ty-doi-no-thue-cong-an-ha-noi-va-canh-sat-hinh-su-bo-cong-an-ra-tay/,"“Đồng loạt triệt phá ổ nhóm lập 7 công ty đòi nợ thuê, Công an Hà Nội và Cảnh sát hình sự Bộ Công an ra tay”",https://tv5s.com/wp-content/uploads/2023/03/doino-5880-2727-768x576.jpg
ha-noi-co-the-tang-tien-nuoc-sach-hang-thang-len-den-15-270-dong-ho,https://tv5s.com/ha-noi-co-the-tang-tien-nuoc-sach-hang-thang-len-den-15-270-dong-ho/,"Hà Nội có thể tăng tiền nước sạch hàng tháng lên đến 15.270 đồng/hộ
",https://tv5s.com/wp-content/uploads/2023/03/Screenshot-2023-03-10-145518.png
hai-lanh-dao-va-bon-dang-kiem-vien-cua-trung-tam-dang-kiem-29-07d-da-bi-bat-tam-giam,https://tv5s.com/hai-lanh-dao-va-bon-dang-kiem-vien-cua-trung-tam-dang-kiem-29-07d-da-bi-bat-tam-giam/,"Hai lãnh đạo và bốn đăng kiểm viên của Trung tâm Đăng kiểm 29-07D đã bị bắt tạm giam.
",https://tv5s.com/wp-content/uploads/2023/03/z41367129589127cadc633e717e513b195d75ae177cbaa-16773035636891938930875.jpg
gan-5-700-ho-dan-o-huyen-me-linh-se-duoc-cap-dat-dich-vu,https://tv5s.com/gan-5-700-ho-dan-o-huyen-me-linh-se-duoc-cap-dat-dich-vu/,"“Gần 5.700 hộ dân ở huyện Mê Linh sẽ được cấp đất dịch vụ”
",https://tv5s.com/wp-content/uploads/2023/03/me_linh_z_4.jpg
